Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2025-00131,M,W,59,1/17/2025  4:00:00 PM,,1/17/2025  4:53:00 PM,1.0,79,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00132,F,B,25,1/17/2025  5:29:00 PM,,6/10/2025  8:00:00 AM,143.6,109,JUDGE,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00133,M,B,42,1/17/2025  6:15:00 PM,,1/21/2025  12:22:00 PM,3.75,179,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00134,M,B,36,1/17/2025  6:48:00 PM,,1/27/2025  4:17:00 PM,9.9,109,BOND,FTA5020M1,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR MISDEMEANOR OFFENSE,,
2025-00135,M,B,43,1/17/2025  6:00:00 PM,,1/17/2025  6:01:00 PM,1.0,109,SENTENCE SERVED,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-00136,F,B,66,1/17/2025  7:00:00 PM,,1/18/2025  6:16:00 AM,1.0,137,BOND,DIS5311M1,DISORDERLY  CONDUCT DISORDERLY CONDUCT,,
2025-00137,M,W,45,1/17/2025  6:00:00 PM,,1/18/2025  6:00:00 PM,1.0,109,SENTENCE SERVED,RAP1122M1,SEXUAL ASSAULT BATTERY - SEXUAL,,
2025-00138,M,W,20,1/17/2025  7:00:00 PM,,1/21/2025  7:00:00 PM,4.0,113,SENTENCE SERVED,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-00139,M,W,28,1/17/2025  7:00:00 PM,,1/19/2025  7:00:00 PM,2.0,113,JUDGE,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-00140,M,W,30,1/18/2025  6:28:00 AM,,1/18/2025  6:54:00 PM,1.0,109,BOND,JUS4829M1,"RESISTING ARREST, OBSTRUCTING JUSTICE W/O THREATS OF FORCE",,
2025-00141,M,W,35,1/18/2025  8:30:00 AM,,1/23/2025  4:22:00 AM,4.83,79,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00142,M,W,30,1/18/2025  1:02:00 PM,,1/22/2025  10:58:00 AM,3.91,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00143,F,W,28,1/18/2025  5:21:00 PM,,2/5/2025  10:45:00 AM,17.73,65,BOND,NAR3135F5,"NAR-SELL,DISTRIBUTE,ETC.SCHEDULE III DRUG-NOT ANABOLIC STEROID",,
2025-00144,F,B,29,1/18/2025  5:21:00 PM,,2/25/2025  1:11:00 PM,37.83,65,BOND,NAR3135F5,"NAR-SELL,DISTRIBUTE,ETC.SCHEDULE III DRUG-NOT ANABOLIC STEROID",,
2025-00145,F,W,29,1/18/2025  5:21:00 PM,,2/28/2025  9:01:00 PM,41.15,65,BOND,NAR3135F5,"NAR-SELL,DISTRIBUTE,ETC.SCHEDULE III DRUG-NOT ANABOLIC STEROID",,
2025-00146,M,B,64,1/18/2025  9:50:00 PM,,1/19/2025  1:45:00 AM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00147,M,W,22,1/19/2025  9:00:00 AM,,1/19/2025  10:37:00 AM,1.0,79,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00148,F,W,47,1/19/2025  4:06:00 PM,,2/6/2025  10:47:00 AM,17.78,79,SENTENCE SERVED,LAR2413M1,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH <$1000",,
2025-00149,F,W,31,1/20/2025  1:15:00 AM,,1/24/2025  10:45:00 AM,4.4,79,BOND,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00150,M,W,36,1/20/2025  4:54:00 PM,,4/16/2025  6:20:00 AM,85.56,65,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00151,F,B,28,1/21/2025  1:00:00 AM,,1/21/2025  2:32:00 AM,1.0,109,BOND,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00152,M,B,54,1/21/2025  8:43:00 AM,,1/21/2025  9:46:00 AM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00153,M,W,50,1/21/2025  12:08:00 PM,,2/3/2025  1:24:00 PM,13.05,79,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00154,M,W,58,1/21/2025  12:24:00 PM,,1/31/2025  9:01:00 AM,9.86,137,JUDGE,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00155,M,B,48,1/21/2025  12:08:00 PM,,7/31/2025  8:00:00 AM,190.83,79,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00156,F,W,48,1/21/2025  12:45:00 PM,,1/30/2025  8:00:00 AM,8.8,47,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00157,M,W,62,1/21/2025  12:24:00 PM,,1/31/2025  9:01:00 AM,9.86,137,JUDGE,FRD2514F4,FRAUD COINS OR BANK NOTES,,
2025-00158,M,W,41,1/21/2025  1:14:00 PM,,2/5/2025  1:15:00 PM,15.0,79,BOND,FRD2805F9,FAIL TO PERFORM CONSTRUCTION IN RETURN FOR ADVANCES - > $1000,,
2025-00159,M,B,26,1/21/2025  2:48:00 PM,,2/18/2025  4:27:00 PM,28.07,79,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00160,M,B,36,1/21/2025  3:28:00 PM,,2/3/2025  6:23:00 PM,13.12,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00161,M,B,55,1/21/2025  3:57:00 PM,,1/22/2025  7:51:00 AM,1.0,79,JUDGE,LAR2354F9,"SHOPLIFT, ALTER PRICE TAGS>=$1000",,
2025-00162,M,B,26,1/21/2025  6:20:00 PM,,2/21/2025  9:03:00 AM,30.61,137,JUDGE,WPN5291F6,"WPN-CONVICTED FELON (NON-VIOLENT>10YRS.) POSSESS/TRANSP. FIREARM, ETC.",,
2025-00163,F,W,32,1/21/2025  7:48:00 PM,,1/23/2025  8:01:00 AM,1.51,179,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00164,F,B,66,1/22/2025  1:22:00 AM,,2/3/2025  3:10:00 PM,12.58,137,BOND,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00165,F,W,33,1/22/2025  12:21:00 PM,,1/23/2025  7:29:00 AM,1.0,65,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00166,F,W,61,1/22/2025  1:17:00 PM,,1/22/2025  3:15:00 PM,1.0,109,HOSPITAL/TREATMENT,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00167,M,W,34,1/22/2025  1:50:00 PM,,3/9/2025  4:00:00 PM,46.09,79,SENTENCE SERVED,WPN5251M1,WEAPONS BRANDISH OR POINT FIREARM,,
2025-00168,M,B,45,1/22/2025  2:51:00 PM,,2/13/2025  6:45:00 PM,22.16,65,SUSPENDED SENTENCE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00169,F,W,64,1/22/2025  3:36:00 PM,,1/23/2025  12:02:00 PM,1.0,109,BOND,FTA5020M1,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR MISDEMEANOR OFFENSE,,
2025-00170,M,W,57,1/22/2025  4:20:00 PM,,5/2/2025  8:00:00 AM,99.65,139,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00171,M,W,27,1/22/2025  4:20:00 PM,,3/14/2025  3:40:00 PM,50.97,139,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00172,F,W,45,1/22/2025  4:42:00 PM,,3/11/2025  9:00:00 AM,47.68,79,SUSPENDED SENTENCE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00173,F,W,46,1/22/2025  7:50:00 PM,,3/3/2025  1:15:00 PM,39.73,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00174,M,W,50,1/22/2025  11:02:00 PM,,1/27/2025  1:57:00 PM,4.62,137,HOSPITAL/TREATMENT,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00175,M,W,25,1/23/2025  1:01:00 AM,,1/23/2025  1:08:00 PM,1.0,33,JUDGE,FTA5020M1,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR MISDEMEANOR OFFENSE,,
2025-00176,F,W,61,1/22/2025  3:16:00 PM,,1/25/2025  9:34:00 AM,2.76,109,HOSPITAL/TREATMENT,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00177,M,W,48,1/23/2025  9:23:00 AM,,3/5/2025  4:19:00 PM,41.29,79,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00178,M,W,33,1/23/2025  10:19:00 AM,,1/23/2025  12:02:00 PM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00179,F,W,35,1/23/2025  12:02:00 PM,,1/23/2025  2:13:00 PM,1.0,540,JUDGE,FTA5019F6,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR FELONY OFFENSE,,
2025-00180,M,B,43,1/23/2025  12:54:00 PM,,1/23/2025  7:00:00 PM,1.0,79,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00181,F,W,33,1/23/2025  1:18:00 PM,,1/24/2025  7:35:00 AM,1.0,65,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00182,M,W,40,1/23/2025  1:22:00 PM,,5/23/2025  9:03:00 AM,119.82,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00183,F,W,46,1/23/2025  9:11:00 PM,,1/24/2025  12:10:00 AM,1.0,79,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00184,M,W,47,1/24/2025  2:42:00 AM,,4/11/2025  3:51:00 PM,77.55,109,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00185,F,W,28,1/24/2025  1:44:00 PM,,1/29/2025  6:29:00 PM,5.2,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00186,F,W,56,1/24/2025  1:44:00 PM,,7/8/2025  8:00:00 AM,164.76,47,JUDGE,NAR3043F9,NARCOTICS POSSESSION W/INTENT TO SELL - DISTRIBUTE - ETC.,,
2025-00187,M,W,41,1/24/2025  2:45:00 PM,,3/1/2025  12:16:00 AM,35.4,540,HOSPITAL/TREATMENT,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00188,F,W,50,1/24/2025  3:48:00 PM,,2/4/2025  6:27:00 PM,11.11,109,BOND,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00189,M,B,33,1/24/2025  4:30:00 PM,,2/3/2025  6:09:00 PM,10.07,79,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00190,M,B,62,3/7/2025  6:00:00 PM,,3/9/2025  6:00:00 PM,2.0,109,JUDGE,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00191,F,W,36,1/24/2025  6:00:00 PM,,1/28/2025  6:00:00 PM,4.0,137,SENTENCE SERVED,CON3286S9,CON - GENERAL - WITHOUT JURY,,
2025-00192,M,W,67,1/24/2025  6:00:00 PM,,1/26/2025  6:00:00 PM,2.0,109,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00193,M,W,50,1/24/2025  6:00:00 PM,,1/26/2025  6:00:00 PM,2.0,79,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00194,M,W,21,1/24/2025  7:00:00 PM,,2/8/2025  7:00:00 PM,15.0,65,SENTENCE SERVED,CDI4855F9,"PAROLE, PROBATION, SUPERVISION VIOLATION CDI VIOLATION - FELONY",,
2025-00195,M,B,31,1/24/2025  7:56:00 PM,,2/20/2025  2:19:00 PM,26.77,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00196,M,W,43,1/24/2025  8:33:00 PM,,2/4/2025  2:56:00 PM,10.77,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00197,F,W,22,1/24/2025  9:19:00 PM,,1/24/2025  11:29:00 PM,1.0,79,HOSPITAL/TREATMENT,PRI9920S9,PRI-VIOLATION OF RECOGNIZED CONDITIONS OR BOND,,
2025-00198,M,W,34,1/24/2025  9:50:00 PM,,7/18/2025  8:00:00 AM,174.42,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00199,F,W,47,1/24/2025  9:50:00 PM,,2/7/2025  6:57:00 PM,13.88,47,BOND,FAM3808F6,FAMILY OFFENSE GROSS - WANTON - OR RECKLESS CARE FOR CHILD,,
2025-00200,F,W,29,1/25/2025  5:29:00 AM,,1/25/2025  9:11:00 AM,1.0,65,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00201,M,W,22,1/26/2025  1:47:00 AM,,1/26/2025  10:30:00 AM,1.0,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00202,M,W,30,1/26/2025  3:30:00 AM,,2/6/2025  11:10:00 AM,11.32,137,JUDGE,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00203,F,W,22,1/24/2025  11:30:00 PM,,1/29/2025  3:16:00 PM,4.66,79,HOSPITAL/TREATMENT,PRI9920S9,PRI-VIOLATION OF RECOGNIZED CONDITIONS OR BOND,,
2025-00204,M,W,46,1/26/2025  6:58:00 AM,,1/26/2025  2:26:00 PM,1.0,65,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00205,M,W,30,1/26/2025  6:00:00 PM,,2/2/2025  6:00:00 PM,7.0,137,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-00206,F,W,42,1/26/2025  9:40:00 PM,,4/15/2025  7:24:00 AM,78.41,137,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00207,F,W,61,1/25/2025  9:35:00 AM,,2/21/2025  3:18:00 PM,27.24,109,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00208,M,W,18,1/27/2025  9:48:00 AM,,1/27/2025  6:30:00 PM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00209,F,W,60,1/27/2025  10:52:00 AM,,11/24/2025  8:00:00 AM,300.88,47,SENTENCE SERVED,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00210,M,W,34,1/27/2025  10:43:00 AM,,2/25/2025  10:30:00 AM,28.99,139,DOC,NAR3022F5,NARCOTICS POSSESSION,,
2025-00211,M,W,46,1/27/2025  11:29:00 AM,,2/18/2025  4:00:00 PM,22.19,137,SENTENCE SERVED,PRI3897S9,PRI - FAIL TO REPORT TO JAIL AT TIMES SPECIFIED BY THE COURT,,
2025-00212,F,W,25,1/27/2025  1:07:00 PM,,4/16/2025  8:00:00 AM,78.79,109,SENTENCE SERVED,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-00213,M,W,35,1/27/2025  2:56:00 PM,,8/19/2025  8:48:00 AM,203.74,47,DOC,NAR3022F5,NARCOTICS POSSESSION,,
2025-00214,M,W,34,1/27/2025  6:00:00 PM,,1/29/2025  4:00:00 PM,1.92,137,SENTENCE SERVED,ASP4845S9,"PAROLE, PROBATION, SUPERVISION VIOLATION ALCOHOL SAFETY PROGRAM VIOLATION",,
2025-00215,M,W,50,1/27/2025  1:58:00 PM,,1/30/2025  3:53:00 PM,3.08,137,HOSPITAL/TREATMENT,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00216,M,B,43,1/28/2025  1:40:00 AM,,,337.93,137,,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-00217,F,W,28,1/28/2025  4:17:00 AM,,1/28/2025  1:28:00 PM,1.0,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00218,M,W,34,1/28/2025  10:07:00 AM,,3/5/2025  11:00:00 AM,36.04,137,JUDGE,FRD2514F4,FRAUD COINS OR BANK NOTES,,
2025-00219,F,B,37,1/28/2025  12:26:00 PM,,2/10/2025  5:06:00 PM,13.19,47,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-00220,M,B,50,1/28/2025  12:38:00 PM,,3/12/2025  10:57:00 AM,42.93,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00221,F,W,27,1/28/2025  1:50:00 PM,,2/5/2025  10:45:00 AM,7.87,47,JUDGE,LAR2304F9,LAR-CONSPIRE COMMIT OR ASSIST/LARCENYW/AGGREGATE >$1000,,
2025-00222,M,B,39,1/28/2025  6:15:00 PM,,3/21/2025  8:00:00 AM,51.57,139,SENTENCE SERVED,NAR3038F9,NARCOTICS SELL - POSS. W/INTENT - DISTRIB. ETC.- SUBSEQUENT CONVICTION,,
2025-00223,M,W,32,1/28/2025  6:15:00 PM,,3/14/2025  3:40:00 PM,44.89,139,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00224,M,B,48,1/28/2025  9:35:00 PM,,2/25/2025  6:12:00 PM,27.86,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00225,M,B,20,1/28/2025  11:52:00 PM,,6/24/2025  8:00:00 AM,146.34,109,SENTENCE SERVED,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00226,M,B,22,1/29/2025  8:25:00 AM,,5/31/2025  8:00:00 AM,121.98,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00227,M,W,24,1/29/2025  8:25:00 AM,,8/12/2025  8:00:00 PM,195.48,47,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00228,M,W,24,1/29/2025  8:25:00 AM,,6/29/2025  8:00:00 AM,150.98,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00229,M,B,31,1/29/2025  8:25:00 AM,,5/27/2025  8:00:00 AM,117.98,47,SENTENCE SERVED,NAR3045F9,"SALE, ETC FOR PROFIT SCHEDULE I OR II DRUGS",,
2025-00230,M,W,47,1/29/2025  8:25:00 AM,,2/3/2025  4:42:00 PM,5.35,47,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00231,M,W,19,1/29/2025  8:25:00 AM,,4/16/2025  8:00:00 AM,76.98,47,SENTENCE SERVED,JUS4811M1,JUS-FALSE STATEMENT DURING INVESTIGATION OF ANOTHER'S CRIME,,
2025-00232,M,W,37,1/29/2025  8:25:00 AM,,6/18/2025  4:53:00 PM,140.35,47,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00233,M,W,32,1/29/2025  8:25:00 AM,,2/5/2025  11:18:00 AM,7.12,47,SENTENCE SERVED,FTA5019F6,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR FELONY OFFENSE,,
2025-00234,M,B,37,1/29/2025  8:25:00 AM,,1/2/2026  8:00:00 AM,336.65,47,SENTENCE SERVED,DES3237M1,DESERTION AND NONSUPPORT FAIL TO COMPLY WITH SUPPORT OBLIGATION - PAYROLL DEDUCTION,,
2025-00235,M,W,39,1/29/2025  8:25:00 AM,,5/9/2025  8:00:00 AM,99.98,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00236,F,W,28,1/29/2025  9:23:00 AM,,2/13/2025  12:21:00 PM,15.12,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00237,F,W,60,1/29/2025  9:58:00 AM,,2/12/2025  11:29:00 AM,14.06,79,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00238,M,W,24,1/29/2025  2:13:00 PM,,1/31/2025  11:07:00 AM,1.87,65,SENTENCE SERVED,JUS4810M1,JUS - FALSELY IDENTIFY SELF TO LAW ENFORCEMENT,,
2025-00239,F,W,22,1/29/2025  3:17:00 PM,,3/18/2025  12:47:00 PM,47.9,79,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00240,M,W,20,1/29/2025  5:00:00 PM,,1/29/2025  8:48:00 PM,1.0,137,BOND,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00241,M,B,43,1/29/2025  7:55:00 PM,,7/11/2025  4:27:00 PM,162.86,47,STATUS CHANGE,NAR3043F9,NARCOTICS POSSESSION W/INTENT TO SELL - DISTRIBUTE - ETC.,,
2025-00242,M,W,45,1/30/2025  12:11:00 AM,,1/30/2025  12:33:00 PM,1.0,109,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00243,M,W,53,1/30/2025  2:26:00 AM,,3/14/2025  10:26:00 AM,43.33,65,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00244,M,W,34,1/30/2025  8:40:00 AM,,10/14/2025  8:00:00 AM,256.97,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00245,M,W,63,1/30/2025  10:41:00 AM,,2/28/2025  5:08:00 PM,29.27,47,SUSPENDED SENTENCE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00246,M,W,50,1/30/2025  3:54:00 PM,,2/4/2025  10:01:00 AM,4.75,137,STATUS CHANGE,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00247,M,W,37,1/30/2025  4:19:00 PM,,4/1/2025  7:50:00 AM,60.65,137,BOND,FAM3806F4,FAMILY OFFENSE CHILD ABUSE AND NEGLECT,,
2025-00248,F,W,43,1/30/2025  7:45:00 PM,,1/31/2025  2:07:00 PM,1.0,113,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00249,M,W,41,1/30/2025  10:33:00 PM,,1/31/2025  12:27:00 PM,1.0,85,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00250,F,W,36,1/31/2025  8:31:00 AM,,4/18/2025  8:00:00 AM,76.98,65,VIOLATED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00251,F,B,44,1/31/2025  9:17:00 AM,,5/9/2025  8:00:00 AM,97.95,47,JUDGE,LAR2301F3,CONSPIRE RETAIL THEFT AGGREGATE VALUE >$5000 OVER 90 DAYS,,
2025-00252,F,B,70,1/31/2025  12:27:00 PM,,3/28/2025  8:22:00 AM,55.83,109,HOSPITAL/TREATMENT,LAR2404F9,LARCENY AUTO THEFT - GRAND LARCENY,,
2025-00253,M,B,21,1/31/2025  12:30:00 PM,,4/11/2025  4:00:00 PM,70.15,65,SENTENCE SERVED,REC6625M1,TRAFFIC - RECKLESS DRIVING ENDANGER LIFE OR LIMB,,
2025-00254,F,W,28,1/31/2025  2:17:00 PM,,2/3/2025  3:34:00 PM,3.05,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00255,M,W,54,1/31/2025  2:25:00 PM,,,334.4,139,,SOR3658M1,SEX OFFENDER REGISTRY OTHER OFFENDERS - FAIL TO REGISTER OR PROVIDE FALSE INFO.,,
2025-00256,M,B,66,1/31/2025  1:50:00 PM,,2/3/2025  7:30:00 AM,2.74,79,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00257,M,W,50,1/31/2025  3:23:00 PM,,3/6/2025  8:00:00 AM,33.69,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00258,M,W,45,1/31/2025  5:17:00 PM,,1/31/2025  9:00:00 PM,1.0,113,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00259,M,W,32,1/31/2025  7:00:00 PM,,2/6/2025  8:00:00 AM,5.54,137,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00260,M,W,28,1/31/2025  7:00:00 PM,,2/2/2025  7:00:00 PM,2.0,113,SENTENCE SERVED,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-00261,M,W,39,1/31/2025  7:00:00 PM,,2/14/2025  7:00:00 PM,14.0,113,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
